Latitude;Longitude;datetime
-74,1323443;4,7032571;2014-04-14 22:23:51
-75,1849539;4,4395836;2014-04-14 22:24:01
-74,80218721;10,95487024;2014-04-14 22:24:02
-75,6683731;4,5380528;2014-04-14 22:24:05
-74,37243142;4,33586454;2014-04-14 22:24:07
-73,3582789;8,2511398;2014-04-14 22:24:08
-71,1407149;8,5979731;2014-04-14 22:24:09
-81,83541289;41,43637896;2014-04-14 22:33:46
-48,4693031;-1,4396531;2014-04-14 22:33:46
-75,5660155;6,2126427;2014-04-14 22:33:46
-46,451804;-23,6968799;2014-04-14 22:33:47
-71,45382355;42,29641266;2014-04-14 22:33:50
-45,848464;-23,176557;2014-04-14 22:33:50
-75,1557098;4,4091222;2014-04-14 22:33:50
-97,7186134;30,2353562;2014-04-14 22:33:50
-70,2570366;8,6001722;2014-04-14 22:33:51
-57,5408463;-37,9533367;2014-04-14 22:33:51
-84,27237198;39,08670176;2014-04-14 22:33:52
-95,50370171;29,65711446;2014-04-14 22:33:52
-87,08657055;20,62749525;2014-04-14 22:33:53
-58,5381965;-34,5535541;2014-04-14 22:33:53
-43,30359401;-22,84999057;2014-04-14 22:33:55
-112,01635;41,28261;2014-04-14 22:33:56
-82,51836939;28,14389013;2014-04-14 22:33:57
-93,19656823;38,70338491;2014-04-14 22:33:57
-58,5609878;-34,6422609;2014-04-14 22:33:57
-118,0195591;34,15171927;2014-04-14 22:33:59
-96,92085665;42,7869352;2014-04-14 22:34:00
-120,6466727;46,58056857;2014-04-14 22:34:01
-72,2190318;7,8210259;2014-04-14 22:34:01
-75,6002894;6,2182102;2014-04-14 22:34:02
-53,7575197;-24,7173122;2014-04-14 22:34:03
-43,2387267;-22,8923903;2014-04-14 22:34:03
-84,21210345;9,94197829;2014-04-14 22:34:04
-89,2145756;13,7186026;2014-04-14 22:34:04
-89,59988995;20,99347367;2014-04-14 22:34:04
-74,77028;10,8819;2014-04-14 22:34:05
-51,1429305;-29,6434326;2014-04-14 22:34:05
-77,3605557;25,0781462;2014-04-14 22:34:06
-84,3846566;39,0947954;2014-04-14 22:34:06
-97,29627509;37,6907143;2014-04-14 22:34:06
-64,1577855;-31,4440444;2014-04-14 22:34:07
-48,66165092;-27,68083186;2014-04-14 22:34:07
-48,523852;-27,6576248;2014-04-14 22:34:07
-61,9639942;-10,8643881;2014-04-14 22:34:08
-89,35996;13,79349;2014-04-14 22:34:08
-46,4935453;-23,6121832;2014-04-14 22:34:10
-48,0734002;-16,0141849;2014-04-14 22:34:10
-121,7525435;36,9106263;2014-04-14 22:34:10
-73,8812499;40,8557496;2014-04-14 22:34:10
-99,21921732;19,28625359;2014-04-14 22:34:10
-98,63454262;29,57512897;2014-04-14 22:34:11
-64,9599503;-40,7316347;2014-04-14 22:34:11
-66,0063378;18,3971464;2014-04-14 22:34:14
-51,19493743;-29,9282662;2014-04-14 22:34:15
-49,0474392;-26,8859381;2014-04-14 22:34:15
-70,7058591;19,4204025;2014-04-14 22:34:16
-58,0038076;-31,3847352;2014-04-14 22:34:17
-66,8528784;18,2663005;2014-04-14 22:34:17
-123,0719426;44,03850403;2014-04-14 22:34:17
-73,33632723;40,70344205;2014-04-14 22:34:18
-43,22575619;-22,89120866;2014-04-14 22:34:18
-74,11771012;4,74919187;2014-04-14 22:34:20
-46,8781526;-17,2288929;2014-04-14 22:34:20
-90,55303678;41,48522633;2014-04-14 22:34:20
-80,42431678;25,66059304;2014-04-14 22:34:20
-45,9062251;-23,1394961;2014-04-14 22:34:20
-121,868996;37,32060463;2014-04-14 22:34:21
-44,9085653;-20,14826;2014-04-14 22:34:22
-66,2031276;18,38606456;2014-04-14 22:34:22
-91,00993151;41,59254248;2014-04-14 22:34:23
-76,97056502;40,19230961;2014-04-14 22:34:23
-80,19024239;25,77015264;2014-04-14 22:34:23
-96,861754;32,75491969;2014-04-14 22:34:23
-89,27147129;30,31542647;2014-04-14 22:34:24
-70,1017071;-20,261796;2014-04-14 22:34:24
-118,1654126;34,06956112;2014-04-14 22:34:25
-52,0375526;-32,0221149;2014-04-14 22:34:26
-66,9075089;10,4771678;2014-04-14 22:34:26
-51,13522941;-29,9951049;2014-04-14 22:34:27
-122,3118445;47,1339152;2014-04-14 22:34:27
-54,6183311;-20,4573072;2014-04-14 22:34:28
-80,3409046;25,9771208;2014-04-14 22:34:28
-49,2788149;-25,5083821;2014-04-14 22:34:28
-75,91129404;40,36236748;2014-04-14 22:34:28
-47,67041853;-22,76463439;2014-04-14 22:34:29
-69,80598287;18,46958167;2014-04-14 22:34:30
-51,635173;-28,3671682;2014-04-14 22:34:31
-66,7982186;10,4833488;2014-04-14 22:34:32
-74,8122222;10,9804103;2014-04-14 22:34:34
-118,542461;34,44157274;2014-04-14 22:34:35
-46,76171;-23,6716277;2014-04-14 22:34:36
-118,2854326;34,03012817;2014-04-14 22:34:36
-53,7643281;-20,4610641;2014-04-14 22:34:37
-70,6561167;-33,5821031;2014-04-14 22:34:37
-65,9432312;18,3665457;2014-04-14 22:34:38
-96,3623155;32,49326301;2014-04-14 22:34:38
-70,7936053;-33,5068862;2014-04-14 22:34:38
-99,13483113;19,31359351;2014-04-14 22:34:38
-58,6096354;-34,6610263;2014-04-14 22:34:38
